zipcode,house_prices,abnb_rent_price
98052,64.52314564459931,99.0
98102,90.12582666666667,152.0249433106576
98103,58.491921096345514,128.42243436754177
98105,86.28252314410481,112.15473441108546
98106,31.958139402985072,100.2132701421801
98107,57.90534172932331,151.46894409937892
98108,35.567851612903226,115.34868421052632
98109,87.9623623853211,183.69458987783597
98112,109.5499342007435,173.96866096866097
98115,61.990054716981135,117.50802139037434
98116,61.86341696969697,151.21455938697318
98117,57.6795007233273,140.13081395348834
98118,41.763743307086614,126.735
98119,84.94480163043478,211.6190476190476
98122,63.436017931034485,145.32831001076426
98125,46.94557707317073,109.79428571428572
98126,42.470635593220344,118.056
98133,38.69973967611336,119.91503267973856
98136,55.16886730038023,139.18333333333334
98144,59.45476501457726,125.11816192560177
98146,35.94832395833333,128.24
98155,42.37256950672646,133.25
98168,24.03283717472119,87.5
98177,67.61853921568628,131.4418604651163
98178,31.061275572519087,116.8695652173913
98199,79.1820807570978,161.39655172413794
